utdr (toby fox),3,18518,,
sonic (series),3,18044,,ソニック・ザ・ヘッジホッグ
strike witches,3,17532,,ストライクウィッチーズ
touken ranbu,3,17302,,とうらぶ
toaru kagaku no railgun,3,17293,,とある科学の超電磁砲
persona 5,3,17131,,ペルソナ5
fate/apocrypha,3,17111,,アポクリファ
final fantasy vii remake,3,16868,,ファイナルファンタジー7リメイク
science adventure,3,16775,,科学アドベンチャー
fire emblem awakening,3,16771,,ファイアーエムブレム覚醒
nier (series),3,16712,,ニーア
gochuumon wa usagi desu ka?,3,16699,,ご注文はうさぎですか?
spy x family,3,16660,,スパイファミリー
pokemon diamond/pearl/platinum,3,16618,pokemon dppt,ポケモンDPt
the king of fighters,3,16608,,キングオブファイターズ
nijisanji en,3,16561,,にじさんじEN
touhou (pc-98),3,16472,,東方旧作
idolmaster cinderella girls starlight stage,3,16271,,スターライトステージ
kill la kill,3,16257,,キルラキル
fate/zero,3,16130,,運命/ゼロ
tsukihime,3,15610,,月姫
persona 4,3,15400,,ペルソナ4
arknights: endfield,3,15313,,アークナイツ:エンドフィールド
kirby (series),3,15277,,星のカービィ
persona 3,3,15237,,ペルソナ3
shingeki no kyojin,3,15141,,進撃の巨人
code geass,3,15036,code geass hangyaku no lelouch r2,コードギアス反逆のルルーシュ
bang dream! girls band party!,3,14688,,バンドリ!_ガールズバンドパーティ!
nier:automata,3,14574,nier automata,ニーアオートマタ
lucky star,3,14499,,らき☆すた
overwatch 1,3,14470,,オーバーウォッチ1
danganronpa: trigger happy havoc,3,14428,,ダンガンロンパ_希望の学園と絶望の高校生
dungeon meshi,3,14357,,ダンジョン飯
neptune (series),3,14198,,超次元ゲイムネプテューヌ
saibou shinkyoku,3,13998,cell of empireo,さぼしき
dc comics,3,13959,"dc extended universe,dc universe (franchise)",DCコミックス
idolmaster million live! theater days,3,13926,,アイドルマスターミリオンライブ!シアターデイズ
go-toubun no hanayome,3,13771,,五等分の花嫁
higurashi no naku koro ni,3,13760,,ひぐらしのなく頃に
tokyo afterschool summoners,3,13738,,東京放課後サモナーズ
dragon ball z,3,13535,,ドラゴンボールZ
pokemon legends: z-a,3,13406,pokemon za,ポケモンZA
ranma 1/2,3,13371,,らんま1⁄2
resident evil,3,13340,,バイオハザード
vspo!,3,13149,,ぶいすぽっ!
darkstalkers,3,13110,vampire (game),ヴァンパイア
elden ring,3,13092,,エルデンリング
alien stage,3,13078,,异形舞台
ensemble stars!,3,13065,,あんさんぶるスターズ!
assault lily,3,12971,,アサルトリリィ
